               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.034487,           0.0091782,            0.017925,             0.96984,             0.99576,             0.98389,             0.61508,            0.029503,           0.0041927,           0.0093976,           0.0089407,           0.0089407,           0.0089407
                 109,            0.030441,           0.0074293,             0.01479,             0.87985,             0.99711,             0.96722,             0.64119,            0.034705,           0.0043123,           0.0088762,           0.0089308,           0.0089308,           0.0089308
                 110,            0.036007,            0.009718,            0.016253,             0.97572,             0.99399,             0.98151,             0.69689,            0.026019,           0.0041695,           0.0088277,           0.0089209,           0.0089209,           0.0089209
                 111,            0.032025,           0.0085237,            0.016587,             0.96175,                   1,             0.99022,             0.62051,             0.03144,           0.0043812,            0.008446,            0.008911,            0.008911,            0.008911
                 112,            0.034981,           0.0095138,            0.016539,             0.98959,                   1,               0.995,              0.7098,            0.026423,           0.0041085,           0.0080634,           0.0089011,           0.0089011,           0.0089011
                 113,            0.030165,           0.0086377,            0.015532,             0.91809,             0.98353,             0.98031,             0.57252,            0.027517,           0.0041919,             0.01516,           0.0088912,           0.0088912,           0.0088912
                 114,            0.031705,           0.0078961,            0.013359,             0.87375,             0.95172,             0.93623,             0.56829,            0.033347,           0.0041931,            0.021173,           0.0088813,           0.0088813,           0.0088813
                 115,            0.036243,           0.0077135,            0.016704,             0.87523,              0.9739,             0.95794,             0.69318,            0.027945,           0.0039719,            0.017461,           0.0088714,           0.0088714,           0.0088714
                 116,            0.031047,           0.0094873,             0.01597,             0.97288,             0.98309,               0.995,             0.73485,            0.024437,           0.0039157,            0.008123,           0.0088615,           0.0088615,           0.0088615
                 117,            0.036007,           0.0094678,            0.016142,             0.84727,             0.95529,             0.92832,             0.56846,            0.029172,           0.0041512,           0.0077535,           0.0088516,           0.0088516,           0.0088516
                 118,            0.033434,           0.0091835,            0.012071,             0.93912,                   1,               0.995,             0.64018,            0.024894,           0.0039107,           0.0078235,           0.0088417,           0.0088417,           0.0088417
                 119,             0.03343,           0.0087792,            0.014544,             0.82283,             0.97064,             0.98432,             0.61349,            0.032694,           0.0040364,            0.010949,           0.0088318,           0.0088318,           0.0088318
                 120,            0.032631,             0.00844,            0.013228,             0.97984,             0.99888,               0.995,             0.65592,             0.02657,           0.0040169,           0.0078999,           0.0088219,           0.0088219,           0.0088219
                 121,            0.032193,           0.0083739,             0.01419,             0.98429,             0.99843,               0.995,             0.63813,             0.02678,           0.0039532,             0.00779,            0.008812,            0.008812,            0.008812
